Hello world!
3 0.666992
4 10.280029
1 0.001221
4 10.096924
1 0.000977
5 0.000000
5 0.000000
5 0.000000
4 10.237061
1 0.000977
5 0.000000
4 10.101074
2 0.087158
5 0.000000
4 10.286865
1 0.001953
7 12.184082
5 0.000977
6 1.446045
4 10.283203
3 0.708008
7 18.208008
4 10.180176
3 0.651123
1 0.000977
7 3.093994
2 0.103027
3 1.442871
2 0.188965
7 14.525879
7 14.905762
2 0.159912
1 0.000977
4 10.111084
4 10.232910
7 9.395020
2 0.140137
4 10.234131
1 0.001953
5 0.000000
7 4.580811
4 10.116943
4 10.232910
6 3.893066
5 0.000977
1 0.000977
5 0.000977
2 0.138916
3 1.549072
1 0.000000
7 3.784912
5 0.000977
5 0.000000
1 0.001953
6 1.566895
4 10.224854
1 0.002197
3 1.406006
1 0.000000
5 0.000977
4 10.091064
3 1.407959
6 1.385010
6 1.101074
6 1.215088
2 0.143066
7 16.503906
6 2.213135
4 10.224854
2 0.266113
5 0.000977
6 1.960938
2 0.144043
1 0.000977
5 0.000977
6 2.135986
7 12.858154
1 0.001953
2 0.143799
3 1.454834
2 0.192871
4 10.113037
3 4.628906
4 10.122070
3 0.895020
6 1.669922
4 10.287109
3 0.870850
1 0.000977
6 1.196045
4 10.100830
6 1.068848
4 10.092041
3 1.400879
4 10.115967
6 1.356934
4 10.187988
2 0.143066
7 3.242920
3 1.496826
4 10.195068
4 10.226074
1 0.004883
5 0.000977
6 1.552979
3 1.449951
5 0.000977
5 0.000000
7 5.177002
6 1.320068
5 0.001221
4 10.274902
2 0.142090
7 3.084961
7 14.953857
5 0.000977
2 0.148926
6 1.708984
2 0.142822
3 1.432861
4 10.270020
3 1.404053
4 10.251953
6 1.670898
5 0.000977
5 0.000000
7 17.546875
5 0.000000
3 1.770996
5 0.000000
2 0.166992
2 0.123047
1 0.002930
5 0.000000
5 0.000000
2 0.118896
1 0.000977
5 0.000000
1 0.000977
2 0.121094
7 12.609131
3 1.767090
7 14.135010
6 3.260986
5 0.000977
4 10.153809
