Hello world!
6 1.071045
5 0.000977
2 0.188965
1 0.000977
3 1.394043
6 2.135010
1 0.000977
5 0.000977
7 12.947998
1 0.000977
6 1.108887
2 0.139893
5 0.000000
7 13.693115
6 1.983887
3 1.858154
7 12.091064
2 0.139160
7 14.788086
3 1.513916
4 10.118896
4 10.239014
4 10.118164
2 0.140869
4 10.242920
2 0.163086
6 3.109863
7 13.921143
6 1.084961
5 0.000000
6 1.104980
7 12.878174
5 0.000977
5 0.000000
1 0.009033
5 0.000000
2 0.135986
7 14.833984
4 10.118896
2 0.166016
7 4.616943
4 10.119873
5 0.000977
3 1.447998
3 1.493896
4 10.274902
2 0.141113
3 1.476074
6 3.458008
3 1.743164
7 14.629150
4 10.118896
4 10.272217
2 0.139893
4 11.064941
3 1.427002
1 0.005127
7 11.821045
7 14.905029
7 15.001221
7 14.950928
6 1.773193
4 10.146973
5 0.000000
7 3.025146
7 14.981201
1 0.003906
2 0.156006
4 10.117920
3 5.512939
1 0.000977
6 2.288086
7 11.552002
5 0.001221
6 1.101074
7 14.013916
5 0.000000
4 10.096924
4 10.120117
1 0.000977
2 0.139160
7 247.200928
1 0.007080
6 1.608887
4 10.112793
7 0.101074
4 10.093994
6 1.104980
4 10.125977
1 0.000977
5 0.000000
2 0.138916
4 10.281006
3 2.004150
7 1001.302002
7 1001.177979
6 1.541016
7 201.200928
3 2.881836
3 1.444092
3 1.385986
7 0.159912
3 1.427002
2 0.130127
1 0.033936
6 3.806885
1 0.000977
6 1.288086
6 1.186035
4 10.108887
1 0.000977
2 0.143066
5 0.001953
4 10.111816
5 0.001221
3 1.560059
2 0.193115
7 0.097900
1 0.001953
3 1.410889
4 10.163086
7 0.132812
3 1.411133
3 1.385010
1 0.002197
2 0.163086
7 0.094971
7 0.128906
1 0.000000
1 0.000000
1 0.000000
7 0.085938
5 0.000977
6 3.274902
1 0.001953
2 0.325195
4 10.111084
1 0.001953
6 2.003906
3 1.864014
2 0.188965
1 0.001953
7 0.097900
2 0.125977
6 2.677979
7 0.235107
4 10.262207
3 1.541992
1 0.000977
1 0.000000
7 0.116943
4 10.117188
6 1.245117
1 0.001953
4 10.126953
6 1.081787
5 0.001221
2 0.096924
2 0.057129
3 0.729980
6 1.916992
5 0.000977
3 0.758057
1 0.008057
3 0.707031
5 0.000000
5 0.000000
5 0.000000
1 0.000000
6 1.165039
3 0.676025
1 0.000977
3 0.652100
5 0.000977
3 0.640869
4 10.125977
3 0.639160
2 0.057861
5 0.000000
1 0.000977
1 0.000000
6 1.697021
7 0.118164
5 0.000977
6 1.092041
6 1.061035
6 1.250000
7 0.101074
6 1.096191
3 1.061035
7 1001.104004
6 1.207031
5 0.000977
3 1002.214111
4 10.252930
1 0.034912
6 2.418945
3 2.658936
5 0.000000
3 2.914062
6 1.281006
3 1.730225
5 0.000977
5 0.000000
3 0.957031
2 0.088867
5 0.000000
6 1.742920
2 0.115234
5 0.000977
6 1.889893
7 1001.193848
3 1002.070068
3 0.583008
6 1.229004
3 1.073975
7 1001.284912
1 0.021973
2 0.063965
4 10.125000
7 1001.135986
7 1000.404053
2 0.104004
5 0.000000
1 0.016846
5 0.000000
2 0.091797
7 1001.084961
1 0.046875
7 1001.136963
1 0.039062
1 0.000000
6 5.823975
6 1.087158
2 0.205078
7 1001.106934
5 0.000977
2 0.140869
5 0.000000
4 10.228027
5 0.000977
3 1003.235107
5 0.019043
5 0.000000
2 0.130127
6 2.011963
4 10.107910
4 10.104980
5 0.000000
5 0.000977
3 1.344971
7 1001.060059
3 1003.155029
5 0.000977
1 0.049072
2 0.129883
6 3.728027
4 10.491943
1 0.001953
5 0.000000
1 0.000977
7 1001.116943
7 1001.159912
6 1.161133
7 1001.274902
4 10.101074
7 1001.093994
4 10.103027
4 10.231201
4 10.104980
6 1.162842
6 1.109863
2 0.083984
4 10.099121
4 10.083984
4 10.228027
4 10.098877
1 0.021973
2 0.059082
1 0.000000
7 1001.101074
1 0.010010
1 0.000000
6 2.598877
2 0.087891
3 1002.062988
2 0.075928
3 0.591064
6 1.436035
2 0.073975
1 0.007080
3 0.617920
1 0.000977
6 1.534180
7 1001.072998
6 1.257080
4 10.118896
2 0.143066
6 1.605957
2 0.141846
5 0.000000
1 0.014893
5 0.000977
2 0.118896
2 0.135986
5 0.000000
1 0.000977
3 1001.900879
7 1001.234863
4 10.098877
1 0.016113
2 0.074951
6 3.289062
4 10.270020
7 1001.234131
5 0.000977
6 1.091064
5 0.001221
7 1001.041016
7 1001.066895
1 0.025879
1 0.000000
6 2.227051
5 0.000977
2 0.091797
1 0.000977
1 0.000000
3 1002.975098
2 0.150146
2 0.120117
5 0.000977
4 10.191162
7 1001.225098
5 0.000977
5 0.000000
4 10.119873
5 0.000977
3 1002.987061
5 0.000977
2 0.151123
7 1000.277100
1 0.051025
4 10.108887
7 1001.193115
2 0.187988
1 0.012939
4 10.105957
1 0.001953
5 0.000000
2 0.092041
4 10.168945
2 0.083008
4 10.289062
1 0.001953
1 0.000000
4 10.229980
2 0.067139
1 0.000977
6 3.191895
3 1002.155029
4 10.303955
5 0.000000
7 1001.277832
1 0.012939
7 1001.075195
2 0.078125
4 10.094971
1 0.010010
2 0.074951
7 1001.219971
6 2.354980
3 1002.371094
6 1.238037
5 0.000000
1 0.020020
4 10.249023
1 0.002197
7 1001.147949
5 0.000977
2 0.093018
5 0.000000
4 10.326172
6 1.989990
2 0.087891
1 0.007812
5 0.000000
2 0.068848
3 1002.266846
7 1001.059082
1 0.019043
1 0.000000
4 10.286865
1 0.000977
5 0.000977
6 2.572021
5 0.000000
5 0.000000
5 0.000000
3 1002.234131
3 0.885986
4 10.103027
2 0.085938
7 1001.081055
6 1.398926
1 0.023926
5 0.000000
2 0.088135
4 10.210938
6 2.494873
5 0.000000
5 0.000000
6 1.082031
6 1.041992
1 0.000977
4 10.261963
4 10.118896
2 0.183838
1 0.001953
4 10.119141
6 1.986084
7 1001.091064
6 1.087891
6 1.084961
1 0.010010
5 0.000977
6 1.376953
5 0.000000
5 0.000000
1 0.000977
2 0.062988
3 1002.222168
7 1001.177002
1 0.016113
4 10.082031
5 0.000000
5 0.000000
6 1.735840
2 0.108887
4 10.083984
1 0.000977
2 0.107178
2 0.088867
3 1001.929932
6 1.510986
6 1.064941
5 0.000977
4 10.208008
6 1.087891
7 1001.253906
2 0.068848
7 1001.186768
3 1001.937012
3 0.908936
5 0.000977
4 10.214111
1 0.053955
7 1001.148926
6 2.560791
7 1001.075928
1 0.018066
2 0.080078
2 0.065918
6 2.103027
5 0.000977
6 1.080078
7 1001.137939
3 1001.293945
2 0.104980
3 0.809082
1 0.015137
5 0.000977
7 1001.214111
5 0.000977
3 1002.012939
7 1001.064941
1 0.041992
3 1003.047852
3 1.381836
4 10.119873
3 1.448975
6 9.145020
2 0.098877
4 10.180908
7 1001.187012
3 1003.075928
5 0.000977
3 1.436035
2 0.133057
7 1001.199951
3 1002.022949
1 0.028076
1 0.000000
3 1.398193
3 1.335938
7 1001.201172
6 4.572021
2 0.146973
3 1003.086182
2 0.133057
2 0.120117
Goodbye!
